id,text,dates
11,">> ADAM: [4:31:40] My name is Adam Friedman and I'm a resident of Baytown area in District 2. I'm calling to oppose the building of a cop city. As someone with up to two degrees in environmental health and a bachelor's degrees in environmental sciences, I can attest to that is pretty bad on all account. It's been done. [Indiscernible] And now without any process to work with people in the community area or getting any sort of input, your goal is to apparently respond to all of that without any kind of thought of what it would be, can be including there is no environmental impact assessment, and you're pressuring people to accept then voters come in. It's embarrassing, honestly [indiscernible] and the only good outcome here is if you vote no. Thank you. [4:32:48]",Sep_7_2021
12,">> WOMAN #39: [4:32:49] Hello. My name is [indiscernible]. I'm a resident and voter of Atlanta city. I'm calling to encourage all city council members to vote no regards to building of a police training facility on Key Road. This has gone too far, you have not encouraged enough community involvement, you know that. And this cannot keep happening. You can vote yes on this but not with the city name. It will really ruin the land, it will ruin neighborhood, and account for [indiscernible] their own dime, not on the peoples' money. Vote no. [4:33:33]",Sep_7_2021
13,>> MAN #35: [4:33:34] Hi. My name is [indiscernible]. I'm a resident of Atlanta. I urge the city council to vote no on the proposed lease of the land of prison farm to the Atlanta police foundation. [Indiscernible] Vote no on prison farm lease. Thank you. [4:34:20],Sep_7_2021
14,">> LYDIA COHEN: [4:34:21] Hi. My name is Lydia Cohen. I'm a resident and voter in Atlanta. I live in the Northern Ridge district, and I completely oppose the proposal by Joyce Sheppard of leasing public land to privately-owned corporate funded Atlanta police foundation. I was in [indiscernible] and I did well in the police, and believe that the plan should not be used for more training than the cops have already in the city. I can tell from firsthand experiences and those my friends that there is no new training and this money needs to go toward the homeless and for education and mental health, addiction services, even the [indiscernible] service for those who can't get them, and transportation or anything like that, the money can go towards anything, but I strongly oppose cop city. I hope that you guys please take it from everyone. Please let that not to happen, seriously. The city does not need any more trauma, the city doesn't need any more victims. So, please vote no on the leasing of prison farm property. So, we don't want to add any more of that to the city. Thank you. [4:35:35]",Sep_7_2021
15,">> WOMAN #40: [4:35:36] Hi. [Indiscernible], Atlanta resident, and I am in support of building the training center on Key Road. The crime and theft here is absolutely ridiculous. And we need to do the best that we can to stop it. And I believe the training center will help. Please vote to support that. Thank you. [4:35:58]",Sep_7_2021
16,">> MAN #37: [4:35:59] Hello [indiscernible] I'm the city council to oppose the police training site on a very endangered site. This should not be further for you securing our greatest little green space we have in Atlanta. And furthermore, there is no need for any more. We have a training center in Atlanta and we do not need more militarized training center. [Indiscernible]. So, I urge the council to vote against the proposal to site the training center on Atlanta old prison farm. It is a very useful city watershed that deserve environmental purpose and no good purpose we've doing but putting an industrial Atlanta training center. Thank you. If you want to ask anything my telephone is 0047 843 4151. [Indiscernible] [4:37:58]",Sep_7_2021
17,">> WOMAN #41: [4:37:59] Hi. This is [indiscernible]I live in midtown. I'm calling to urge y'all to vote no against cop city. Something's different has to be done. And I'm going to create a process that people can come to participate in, that means we've been rushing through and I also feel a bunch of misappropriation of city resources. We're in the middle of a global pandemic that's not getting any better. And people are in their home. Any money that you can spend on tearing down the forest and building the whole thing could be much better spent on any services that support people. And actually, help people who live in our city or land. So, I hope that y'all do that. Vote no on cop city. Thank you. [4:38:53]",Sep_7_2021
18,">> WOMAN #42: [4:38:54] Hello. My name is [indiscernible]. I'm calling from District 909, and I'm in support 20-4-4119. I support the building of a training facility. Our police and firemen need a city training facility. We had all of the year 2020, now our officers need to be trained better. This is an opportunity for them to have the facility. And other people are speaking on behalf of the environmental issues of the acreage and the layout. It’s actually going to conserve nature's plan and it has a lot of green space. It's going to be added and will be much better than what anyone is pontificating on building after that. The land has been empty for quite a while. In fact, I've seen the tenants going back and forth, to those in our position. Other people are calling from extensions, and not Atlanta residents. They really don't need to get a vote because they're not trying to spend as well. And this isn't an environmental issue to them because they're calling it a cop city. These are the same people they don't want police. And they are finding any way that they can bully and suppress the vote to go towards a training facility. I hope that our council is wise, and they don't fall prey to the propaganda that's being pushed their way. Thank you again. And please make a wise decision. [4:40:43]",Sep_7_2021
19,">> WOMAN #43: [4:40:44] Hi. My name is [indiscernible] I am a resident of Atlanta. [Indiscernible] And I am satisfied here in Atlanta. For a, I guess, a proposed police training facility. And I missed the point that I was not in favor of this, I think that this is actually a really bad idea. I think, the fact that the green space was city. I think it affects the residents and the community that [indiscernible]. The other part that I'm not happy about is I believe that we already have training facilities for the police. The purpose of this facility is already gone, and the community need green space, water. Bye. [4:42:02]",Sep_7_2021
20,">> WOMAN #44: [4:42:03] Good afternoon, city council. My name is [indiscernible] I am calling to ask on the hands of constituents if he's serving us. If he cares serving us. He will absolutely vote yes to the public safety training center on Key Road. It is absolutely needed. We look forward to and support. Thank you. [4:42:31]",Sep_7_2021
21,">> ANTONIO LEWIS: [03:10:08] And I'm responding too, because you call me. I have to respond. [03:10:11]",June_5_P1
22,>> JACKS CARTER: [03:10:11] Appreciate that. [03:10:12],June_5_P1
23,">> ANTONIO LEWIS: [03:10:12] And when you say that that part, they won't be there. The price of all that stuff. I made sure I went to the mayor. My vote's easy vote. But I went and I had a conversation about some of the misconceptions, some of that misinformation that's out there about that costume. I know less stuff going in there because of the price anyway, so I want to make sure I say that. Thank you, President. [03:10:33]",June_5_P1
24,>> JACKS CARTER: [03:10:33] Tactics are military vision. [03:10:34],June_5_P1
25,>> DOUG SHIPMAN: [03:10:35] Thank you. Time has expired. Thank you. Next will be Amy Taylor. You'll have up to four minutes due to yielded time. [03:10:42],June_5_P1
26,">> AMY TAYLOR: [03:10:48] Hello again. I am Amy Taylor. I live on Key Road within 250ft of the development, and I am the resident representative of my community, Starlight Heights, on the Community Stakeholders Advisory Committee. I want to make it clear my comments today are my own, and I am only here as a representative of my community, not any organization or committee, including the CSAC. I am a property owner, just like the city of Atlanta. Unlike the city of Atlanta, I would not be allowed to set up surveillance and terrorize my neighborhood. This is my neighborhood you are making decisions about. And I'm already tired of living in a police occupation. Several of my neighbors and I have endured negative interactions with the police while walking on roads around the property, because we don't have sidewalks. As a resident of Key Road, I have been harassed, intimidated, interrogated, followed, and had to tell an officer to turn off his flashing blue lights at four in the morning because everybody else was trying to sleep. Of course, he was in his car sleeping just fine. An investigator was sent to my house to get my tag number for absolutely no reason other than I circled the property in my car, and took some pictures of the runoff of sediment from the property into Intrenchment Creek. Photos I have on a Google Drive, and I am happy to share with anybody else who wants to see them. They are horrific. And even after the silt fences were fixed and were in compliance, silt is still draining into Intrenchment Creek. The development is in violation of the Clean Water Act and I have photographic proof. [03:12:47] [03:12:48] --- [03:12:48] However, the courts, EPD and seemingly this council fail to acknowledge the environmental impact already taking place. Some opinions of the development believe the police presence will bring increased safety to my neighborhood. Currently, as APD guards the area around the property on public DeKalb property and out of their jurisdiction, drag racers continue to speed past my house and I hear gunfire all night long. Yet residents are harassed and interrogated for simply existing in public spaces. The police presence has not deterred the crime in my neighborhood. What it has brought is drama, violence, and a murder scandal. A few months ago, the mayor made a short visit to my neighborhood. He knocked on about ten to 15 doors and actually spoke to a fraction of those homeowners and renters. I sat him down in my front yard and had a discussion. I would like to present the council with the same questions I asked him. And I would like your answers today. Why is this property so special? Obviously, people want to keep the green space here. You can build or utilize another property. You cannot move the forest. Why not consider other location options? Where is the accountability? Why should I believe anything that has been done on the CSEC won't be changed or expanded upon once the dust settles and no one is no longer watching? What guarantee or compensation is in place for the residents of Starlite Heights and other residents who have invested their lives and savings into their homes? What happens if this development ruins our property values? We heard the promise of a green space before from Atlanta in 2017. What guarantee is there that this isn't another bait and switch for future police training development? [03:14:55]",June_5_P1
27,>> DOUG SHIPMAN: [03:14:57] Time has expired. [03:14:57] And who is going to pay for the additional environmental assessment and development for the rest of the 200 acres? [03:15:02],June_5_P1
28,>> DOUG SHIPMAN: [03:15:04] Thank you. [03:15:04],June_5_P1
29,>> AMY TAYLOR: [03:15:04] Thank you. [03:15:05],June_5_P1
30,>> DOUG SHIPMAN: [03:15:06] Next is Devin Berrington Ward. [03:15:07],June_5_P1
31,>> AUDIENCE MEMBERS: [03:15:08] [clapping]. [03:15:08],June_5_P1
32,>> DOUG SHIPMAN: [03:15:08] You have up to two minutes. [03:15:10],June_5_P1
33,">> DEVIN WARD: [03:15:17] Again. Aren’t no crime wave in Atlanta. Can't be half of the damn forces down here. But I appreciate that our presence has kept officers off the street because maybe another Black person won't get killed today by the police. There are many White people who are trying to solve the problem, but you never see them going under the label of liberal. That White person that calls themselves a liberal, is the most dangerous thing in the entire Western Hemisphere. He's the most deceitful. He's like a fox. And a fox is always more dangerous in the forest than the wolf. You see what? The wolf. You know the wolf is coming. You know what the wolf is up to. But see what? The fox. He has his mouth shaped in such a way that you think it's a smile and you mistake him as a friend. Dustin Hillis and Matt Westmoreland are those White liberals that Malcolm X talked about. They're the White moderates that Doctor King talked about from the jail in Memphis, in Birmingham. Excuse me. Matt, I'll deal with you another day. Dustin, though, I ran against you in 2021 after you voted against the reimagining of the Atlanta Police Department under the legislation that Councilmember Antonio Brown introduced. That bill lost by one vote. You got on my list on that day. You also got on my list because I continue to have residents come p to me and talk about how you weaponize code enforcement to take their homes away, and you've given it to the Atlanta Police Foundation. And I want to be very clear. We know what you and your wife have been up to, and I'm sure there's a RICO racketeering case that's right here at city council and misuse of office. Sir, be clear. I have no intentions to run against you ever again. I have better things to do with my time. But I will make sure, because you introduced this legislation. I will make sure you will not have that seat. [03:17:17] [03:17:17] --- [03:17:17] For the rest of the folks here on council, I understand you all need the police. Because you all got lawbreakers and criminals all up on this council. You all need therapy because you continue to project--- [03:17:33] [03:17:33] --- [03:17:33]",June_5_P1
34,">> DOUG SHIPMAN: [03:17:34] Your time is expired. [03:17:35] ---your dissent onto the rest of us. And you all need Jesus. Not White Jesus, but Black Jesus. [03:17:37][1.3]",June_5_P1
35,>> DOUG SHIPMAN: [03:17:38] Time is expired. Thank you. [03:17:39][1.2],June_5_P1
36,">> DEVIN WARD: [03:17:40] The abolitionist. The one that will come up here like it's a temple, and will tear tables up and will flock you all. [03:17:48][8.1]",June_5_P1
37,>> DOUG SHIPMAN: [03:17:50] Thank you. Time has expired. [03:17:51],June_5_P1
38,>> DEVIN WARD: [03:17:51] [indiscernible] power against the people that he was trusted you all to serve. [03:17:52],June_5_P1
39,">> DOUG SHIPMAN: [03:17:52] Mr. Berrington Ward, time has expired. [03:17:53]",June_5_P1
40,>> DEVIN WARD: [03:17:54] You all should be ashamed. [03:17:54],June_5_P1
41,>> AUDIENCE MEMBERS: [06:35:01] [cheering] [06:35:01],June_5_P1
42,">> DOUG SHIPMAN: [06:35:06] Thank you. Next up. So we're at 122. I'll call the next round of names though I can't read some of the handwriting. David Martin, Leigh Day, Ernest Law, Vic Kennedy, Caitlin Brewster, Abundia Tristan, John Meyer, and Carl Charles. Excuse me David. [06:35:28]",June_5_P1
43,>> DAVID MARTIN: [06:35:30] Yes. [06:35:30],June_5_P1
44,>> DOUG SHIPMAN: [06:35:31] What's the last name? [06:35:32],June_5_P1
45,>> DAVID MARTIN: [06:35:33] Martin. Terrible handwriting. [06:35:35],June_5_P1
46,>> DOUG SHIPMAN: [06:35:36] Sorry. David Martin. You have up to two minutes. [06:35:39],June_5_P1
47,">> DAVID MARTIN: [06:35:40] Thank you for having me. My name is David Martin. I live in District 5. My hope is that the council votes no for the funding and ultimately for the project as a whole. Numerous reasons to oppose this project were discussed as nauseum during public comment on May 15th. However, I'm here to talk about why that public comment was inadequate. I'm here to talk about fiscal accountability. For almost two years, the delay sold to city taxpayers. And the deal I read about almost daily in the Atlanta Journal Constitution is that Cop City will cost city taxpayers $30 million, and the Atlanta Police Foundation, a private organization separate from the police department and city coffers, would pay the remaining 60 million of the $90 million project. On September 8th, 2021, Mayor Lance Bottoms stated, quote, ""The city's contribution will be through a 30 year, $1 million per year lease starting in fiscal year 2024, or a single contribution through a general obligation bond."" End quote. That $30 million number was repeated like gospel for two years. Following the public outcry on May 15th, Mayor Dickens ran an opinion piece on May 17th, again, spotlighting the city's $31 million contribution. On May 24th, the Atlanta Community Press Collective realized and published what select few have known for years, that the city taxpayers would actually be paying at least 67 million of the $90 million. Add the 10% elasticity clause plus $1 million gymnasium line, and this ballooned to 34 million. This chasm, in truth, was finally acknowledged by the mayor's office on May 26th. All of these hours of public comment and nobody stood up and told us the truth. As of Sunday morning, the Atlanta Police Foundation is still publishing on their website the city will only contribute $30 million. How far over budget? How much will the real cost be? Vote no. At a minimum, send the committee to examine the real cost. Thank you. [06:37:44]",June_5_P1
48,>> DOUG SHIPMAN: [06:37:44] Thank you. [06:37:44],June_5_P1
49,>> AUDIENCE MEMBERS: [06:37:44] [cheering]. [06:37:44],June_5_P1
50,>> DOUG SHIPMAN: [06:37:44] Next is Lee Dang. [06:37:44],June_5_P1
51,>> LEE DANG: [06:37:53] Yes. [06:37:53],June_5_P1
52,">> DOUG SHIPMAN: [06:38:02] Thank you. What's your last name, Lee? [06:38:05]",June_5_P1
53,>> LEE DANG: [06:38:05] Dang. [06:38:05],June_5_P1
54,>> DOUG SHIPMAN: [06:38:06] Dang. Thank you. [06:38:06],June_5_P1
55,>> LEE DANG: [06:38:06] Yeah. I got a [indiscernible] hand writing. [06:38:06],June_5_P1
56,>> DOUG SHIPMAN: [06:38:06] Thank you. I got two minutes. [06:38:09][3.1],June_5_P1
57,">> LEE DANG: [06:38:11] I only moved out here very recently. I came here from Florida. A big reason why I moved here from Florida is because of the policies of Ron DeSantis and the way he's treating people down there. Moving here, I have a lot of community down there, and I travel as much as I can. I go to Ohio a lot, especially. And a lot of people talk about outside agitators and stuff like that. I don't consider them outside as someone who's technically outside. From the beginning of this, I still had my eyes on it because I understood chances are it's not just Georgia that's going to be training there. Chances are, the stuff I was seeing in the streets for 2020, for the BLM protests, I'm going to see even more difficult, even more bloody than before after this happens, because they're going to get better at it. I am under the impression that this community really doesn't fucking want it. And please, please. I only got two minutes. I only got two minutes. Please, I'm begging you. And I really, really, really hope that, as someone who just moved here, that I can agree with these people and live here. Because they're so warm, there's so kind, and I don't think I'll be able to, if I've got a feeling in my gut, this is going to be like Florida, because Florida is terrifying. A lot of people are leaving as fast as they can. Thank you. [06:39:44]",June_5_P1
58,>> DOUG SHIPMAN: [06:39:45] Thank you. [06:39:45],June_5_P1
59,>> AUDIENCE MEMBERS: [06:39:45] [clapping]. [06:39:45],June_5_P1
60,>> DOUG SHIPMAN: [06:39:45] Next is Earnest Law. You have up to two minutes. [06:39:53],June_5_P1
